,code,name,change,open,preclose,close,high,low,volume,amount
0,000001,上证指数,1.05,3164.7976,3133.7218,3166.6488,3172.7777,3143.5695,189073383,2270.8509
1,000002,Ａ股指数,1.05,3314.5369,3281.9212,3316.4103,3322.876,3292.1897,188807444,2269.064
2,000003,Ｂ股指数,1.0,322.2051,321.463,324.6712,325.6506,322.2051,265938,1.7869
3,000008,综合指数,0.44,2938.9729,2906.3298,2919.0878,2946.8223,2897.0293,50075875,543.3736
4,000009,上证380,1.99,5334.4127,5283.668,5388.85,5397.1041,5332.6426,45093972,571.8291
5,000010,上证180,0.59,8404.2191,8302.7183,8351.3972,8420.4322,8288.8948,76456030,942.7312
6,000011,基金指数,0.43,6103.2952,6076.8007,6102.7818,6115.728,6082.8792,34076279,353.5111
7,000012,国债指数,-0.01,162.8349,162.8204,162.806,162.8364,162.731,93653,0.8955
8,000016,上证50,0.32,2775.6346,2738.868,2747.5872,2780.8388,2726.3603,39211664,495.8936
9,000017,新综指,1.05,2672.388,2646.0813,2673.8963,2679.1158,2654.3577,188789980,2268.6304
10,000300,沪深300,0.86,3927.492,3879.893,3913.2689,3936.778,3881.8726,113700711,1622.9155
11,000905,中证500,2.23,5956.2359,5902.9588,6034.775,6043.0533,5956.2359,89199271,1065.3887
12,399001,深证成指,2.0,10683.158,10564.375,10775.711,10799.369,10675.497,22288276221,3133.1819
13,399002,深成指R,2.0,12762.576,12620.673,12873.144,12901.407,12753.423,11413423430,1655.166
14,399003,成份Ｂ指,0.45,6308.343,6267.162,6295.658,6345.965,6270.385,8953161,0.5737
15,399004,深证100R,1.47,5525.103,5456.355,5536.687,5554.244,5481.812,3895924035,665.2898
16,399005,中小板指,2.4,7364.018,7282.918,7457.669,7465.639,7364.018,2569380056,457.6786
17,399006,创业板指,3.6,1799.147,1780.609,1844.693,1846.541,1797.087,2696123074,439.3111
18,399008,中小300,2.43,1433.742,1419.131,1453.573,1454.952,1433.742,5121535448,751.5706
19,399100,新 指 数,2.04,8157.053,8078.28,8243.237,8263.721,8157.053,22186648966,3127.5793
20,399101,中小板综,2.18,10753.139,10662.375,10894.636,10912.253,10753.139,8894073290,1259.364
21,399106,深证综指,2.2,1807.881,1790.355,1829.694,1834.331,1807.881,22288276221,3133.1819
22,399107,深证Ａ指,2.2,1890.583,1872.213,1913.439,1918.285,1890.583,22270701799,3132.2442
23,399108,深证Ｂ指,0.76,1138.856,1135.535,1144.14,1149.358,1138.856,17574422,0.9377
24,399333,中小板R,2.4,8111.367,8022.037,8214.522,8223.302,8111.367,2569380056,457.6786
25,399606,创业板R,3.6,1874.012,1854.703,1921.453,1923.379,1871.866,2696123074,439.3111
